Intent,user_query,bot_response,language,augmented
outfit_recommendation,"outfit suggestions for a concert, please.",A midi dress or co-ord set with low heels works well for concerts and outdoor events. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with lehenga to a brunch?,A black blazer in chiffon would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what should i wear with co-ord set to a interview?,A peach gown in velvet would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,how to dress for a summer brunch with friends?,Choose breathable fabrics.,English,
outfit_recommendation,how to style a printed dress for an interview?,Keep accessories minimal and add a blazer to make it interview-appropriate. Comfortable too.,English,
outfit_recommendation,would you recommend aslam hussain for someone looking for men's luxury formal sherwanis?,"I suggest Aslam Hussain if you want men's luxury formal sherwanis. Expect prices around 10,000-50,000. It's a good pick for that purpose.",English,
outfit_recommendation,how to style a shirt dress for travel?,"Layer with a light jacket, choose flats or sneakers and a crossbody bag for comfort.",English,
outfit_recommendation,what is 'afrozeh' known for and what is the typical price range?,"Afrozeh: Women's eastern formal. Typical price range 4,000-12,000.",English,
outfit_recommendation,what is 'ajr couture' known for and what is the typical price range?,"AJR Couture: Bridal, party wear. Typical price range 15,000-100,000.",English,
outfit_recommendation,would you recommend cambridge for someone looking for western corporate smart casual?,"I suggest Cambridge if you want western corporate smart casual. Expect prices around 3,000-12,000. It's a good pick for that purpose.",English,
outfit_recommendation,birthday meet-up outfit that photographs well?,Match your vibe ' dress a notch up for your own party; keep comfort in mind.,English,
outfit_recommendation,would you recommend sunhak for someone looking for casual western youth-oriented?,"I suggest Sunhak if you want casual western youth-oriented. Expect prices around 1,500-6,000. It's a good pick for that purpose.",English,
outfit_recommendation,modest but fashionable evening look?,Longline dress with embellished shrug and minimal jewelry'focus on fit and proportion.,English,
outfit_recommendation,how to style a midi skirt for the office?,"Tuck in a shirt, add a slim belt and low pumps for a smart office-ready silhouette.",English,
outfit_recommendation,"would you recommend ismail couture for someone looking for eastern formal bridal, lehengas gowns?","I suggest Ismail Couture if you want eastern formal bridal, lehengas gowns. Expect prices around 20,000-120,000. It's a good pick for that purpose.",English,
outfit_recommendation,what is 'hussain rehar' known for and what is the typical price range?,"Hussain Rehar: Eastern formal, bridal couture. Typical price range 10,000-50,000.",English,
outfit_recommendation,help me pick an outfit for a picnic.,Try smart-casual: jeans or chinos with a stylish top and comfortable shoes. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with kurta to a mehndi?,A black jumpsuit in velvet would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what should i wear with lehenga to a interview?,A pastel pink blazer in satin would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what is 'yavang' known for and what is the typical price range?,"Yavang: Youth streetwear casual. Typical price range 1,500-6,000.",English,
outfit_recommendation,"casual meetup with friends, any outfit ideas?",A relaxed co-ord or maxi dress works well for cafes and shopping. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with gown to a office meeting?,A white maxi dress in denim would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what to wear with a satin skirt for evening party?,Pair a satin skirt with a fitted top and ankle boots for a chic evening look. Comfortable too.,English,
outfit_recommendation,affordable look under 2000 pkr?,Co-ord sets from local markets or a neat kurta with jeans create a put-together look on a budget.,English,
outfit_recommendation,night fest outfit suggestions?,"Bold but comfy: textured top, fitted jeans or trousers, and light accessories that stand out under lights.",English,
outfit_recommendation,"would you recommend diva for someone looking for women's pret, prints vibrant colors?","I suggest Diva if you want women's pret, prints vibrant colors. Expect prices around 2,500-8,000. It's a good pick for that purpose.",English,
outfit_recommendation,how to style palazzo pants for a formal dinner?,"Pair with a fitted silk blouse, low heels and delicate jewelry for elegant comfort.",English,
outfit_recommendation,going to a dawat ' what would be appropriate to wear?,A smart-casual kurta with clean shoes is a versatile choice. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with co-ord set to a brunch?,A peach suit in cotton would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what should i wear with shirt to a brunch?,A white jumpsuit in cotton would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,i have a livestream class ' what top looks best on camera?,"Solid mid-tones, tidy neckline, and good lighting make you camera-ready.",English,
outfit_recommendation,what's a good look for attending a concert?,"A lightweight jacket over a tee and jeans is a safe, stylish choice. Comfortable bhi rahega.",English,
outfit_recommendation,what's a good look for attending a sports?,Go for breathable fabrics and layered looks if it's an outdoor event. Comfortable bhi rahega.,English,
outfit_recommendation,how to dress for a chilly rooftop dinner?,Layer with a sleek coat and choose closed-toe shoes; add a warm scarf. Comfortable too.,English,
